protein_0	protein_0
protein_165	protein_165
protein_173	protein_173
protein_173	protein_144
protein_173	protein_151
protein_173	protein_196
protein_174	protein_174
protein_174	protein_153
protein_176	protein_176
protein_178	protein_178
protein_179	protein_179
protein_183	protein_183
protein_186	protein_186
protein_186	protein_106
protein_186	protein_145
protein_186	protein_159
protein_186	protein_90
protein_186	protein_95
protein_186	protein_99
protein_186	protein_107
protein_186	protein_110
protein_186	protein_114
protein_186	protein_117
protein_186	protein_131
protein_186	protein_132
protein_186	protein_133
protein_186	protein_140
protein_186	protein_141
protein_186	protein_143
protein_186	protein_155
protein_186	protein_237
protein_186	protein_238
protein_186	protein_240
protein_186	protein_243
protein_186	protein_134
protein_186	protein_157
protein_186	protein_162
protein_186	protein_177
protein_186	protein_175
protein_186	protein_194
protein_186	protein_161
protein_186	protein_167
protein_200	protein_200
protein_200	protein_199
protein_201	protein_201
protein_202	protein_202
protein_203	protein_203
protein_204	protein_204
protein_205	protein_205
protein_206	protein_206
protein_207	protein_207
protein_208	protein_208
protein_208	protein_77
protein_209	protein_209
protein_210	protein_210
protein_211	protein_211
protein_212	protein_212
protein_213	protein_213
protein_214	protein_214
protein_215	protein_215
protein_216	protein_216
protein_217	protein_217
protein_218	protein_218
protein_219	protein_219
protein_220	protein_220
protein_223	protein_223
protein_223	protein_138
protein_223	protein_234
protein_223	protein_182
protein_225	protein_225
protein_226	protein_226
protein_227	protein_227
protein_228	protein_228
protein_229	protein_229
protein_229	protein_115
protein_229	protein_130
protein_229	protein_193
protein_229	protein_241
protein_229	protein_450
protein_229	protein_187
protein_230	protein_230
protein_231	protein_231
protein_232	protein_232
protein_233	protein_233
protein_235	protein_235
protein_235	protein_224
protein_242	protein_242
protein_244	protein_244
protein_245	protein_245
protein_246	protein_246
protein_254	protein_254
protein_254	protein_837
protein_254	protein_365
protein_254	protein_686
protein_254	protein_687
protein_254	protein_873
protein_256	protein_256
protein_262	protein_262
protein_263	protein_263
protein_264	protein_264
protein_266	protein_266
protein_267	protein_267
protein_268	protein_268
protein_269	protein_269
protein_270	protein_270
protein_271	protein_271
protein_272	protein_272
protein_273	protein_273
protein_274	protein_274
protein_275	protein_275
protein_276	protein_276
protein_277	protein_277
protein_278	protein_278
protein_279	protein_279
protein_280	protein_280
protein_287	protein_287
protein_287	protein_307
protein_297	protein_297
protein_297	protein_309
protein_297	protein_649
protein_297	protein_290
protein_297	protein_331
protein_297	protein_346
protein_300	protein_300
protein_300	protein_312
protein_300	protein_654
protein_300	protein_292
protein_300	protein_342
protein_300	protein_319
protein_300	protein_357
protein_308	protein_308
protein_308	protein_294
protein_308	protein_326
protein_308	protein_345
protein_308	protein_350
protein_308	protein_528
protein_308	protein_660
protein_308	protein_702
protein_310	protein_310
protein_310	protein_305
protein_311	protein_311
protein_316	protein_316
protein_316	protein_283
protein_316	protein_296
protein_316	protein_658
protein_316	protein_333
protein_316	protein_359
protein_316	protein_703
protein_320	protein_320
protein_321	protein_321
protein_322	protein_322
protein_323	protein_323
protein_323	protein_330
protein_323	protein_351
protein_323	protein_656
protein_323	protein_286
protein_323	protein_303
protein_323	protein_706
protein_329	protein_329
protein_335	protein_335
protein_337	protein_337
protein_341	protein_341
protein_341	protein_324
protein_341	protein_349
protein_343	protein_343
protein_343	protein_288
protein_343	protein_306
protein_343	protein_655
protein_343	protein_527
protein_353	protein_353
protein_355	protein_355
protein_355	protein_328
protein_355	protein_338
protein_355	protein_534
protein_355	protein_299
protein_355	protein_313
protein_355	protein_653
protein_355	protein_293
protein_363	protein_363
protein_363	protein_251
protein_363	protein_259
protein_363	protein_369
protein_363	protein_373
protein_363	protein_380
protein_363	protein_447
protein_363	protein_448
protein_363	protein_495
protein_363	protein_452
protein_363	protein_454
protein_363	protein_569
protein_363	protein_43
protein_363	protein_39
protein_363	protein_29
protein_363	protein_46
protein_363	protein_69
protein_363	protein_70
protein_363	protein_71
protein_363	protein_250
protein_363	protein_257
protein_363	protein_258
protein_363	protein_260
protein_363	protein_361
protein_363	protein_362
protein_363	protein_366
protein_363	protein_367
protein_363	protein_368
protein_363	protein_372
protein_363	protein_374
protein_363	protein_375
protein_363	protein_378
protein_363	protein_379
protein_363	protein_382
protein_363	protein_453
protein_363	protein_455
protein_363	protein_456
protein_363	protein_457
protein_363	protein_458
protein_363	protein_472
protein_363	protein_522
protein_363	protein_547
protein_363	protein_548
protein_363	protein_549
protein_363	protein_551
protein_363	protein_561
protein_363	protein_565
protein_363	protein_566
protein_363	protein_567
protein_363	protein_599
protein_363	protein_629
protein_363	protein_688
protein_363	protein_765
protein_363	protein_768
protein_363	protein_792
protein_363	protein_815
protein_363	protein_816
protein_363	protein_825
protein_363	protein_827
protein_363	protein_828
protein_363	protein_829
protein_363	protein_830
protein_363	protein_831
protein_363	protein_550
protein_363	protein_570
protein_363	protein_574
protein_363	protein_575
protein_363	protein_601
protein_363	protein_833
protein_363	protein_602
protein_363	protein_604
protein_363	protein_48
protein_363	protein_681
protein_363	protein_763
protein_363	protein_54
protein_363	protein_377
protein_363	protein_791
protein_370	protein_370
protein_371	protein_371
protein_385	protein_385
protein_385	protein_413
protein_386	protein_386
protein_386	protein_402
protein_391	protein_391
protein_391	protein_410
protein_393	protein_393
protein_393	protein_403
protein_396	protein_396
protein_396	protein_405
protein_399	protein_399
protein_399	protein_408
protein_401	protein_401
protein_401	protein_406
protein_401	protein_520
protein_401	protein_744
protein_401	protein_759
protein_401	protein_609
protein_404	protein_404
protein_404	protein_400
protein_409	protein_409
protein_409	protein_392
protein_411	protein_411
protein_411	protein_394
protein_412	protein_412
protein_412	protein_395
protein_414	protein_414
protein_414	protein_398
protein_415	protein_415
protein_415	protein_384
protein_416	protein_416
protein_416	protein_397
protein_417	protein_417
protein_417	protein_388
protein_417	protein_515
protein_417	protein_761
protein_418	protein_418
protein_419	protein_419
protein_419	protein_389
protein_420	protein_420
protein_420	protein_390
protein_420	protein_519
protein_420	protein_622
protein_420	protein_733
protein_420	protein_755
protein_422	protein_422
protein_423	protein_423
protein_424	protein_424
protein_425	protein_425
protein_426	protein_426
protein_427	protein_427
protein_428	protein_428
protein_429	protein_429
protein_430	protein_430
protein_431	protein_431
protein_432	protein_432
protein_433	protein_433
protein_434	protein_434
protein_435	protein_435
protein_438	protein_438
protein_439	protein_439
protein_440	protein_440
protein_441	protein_441
protein_442	protein_442
protein_443	protein_443
protein_451	protein_451
protein_459	protein_459
protein_459	protein_673
protein_460	protein_460
protein_460	protein_664
protein_461	protein_461
protein_461	protein_282
protein_461	protein_301
protein_461	protein_332
protein_461	protein_348
protein_461	protein_651
protein_461	protein_318
protein_461	protein_526
protein_461	protein_672
protein_461	protein_705
protein_461	protein_713
protein_463	protein_463
protein_463	protein_666
protein_463	protein_334
protein_463	protein_284
protein_463	protein_314
protein_463	protein_317
protein_463	protein_358
protein_463	protein_704
protein_464	protein_464
protein_466	protein_466
protein_466	protein_628
protein_467	protein_467
protein_468	protein_468
protein_469	protein_469
protein_470	protein_470
protein_471	protein_471
protein_482	protein_482
protein_484	protein_484
protein_484	protein_479
protein_485	protein_485
protein_486	protein_486
protein_487	protein_487
protein_487	protein_480
protein_488	protein_488
protein_488	protein_481
protein_489	protein_489
protein_490	protein_490
protein_491	protein_491
protein_492	protein_492
protein_493	protein_493
protein_493	protein_483
protein_494	protein_494
protein_497	protein_497
protein_497	protein_116
protein_499	protein_499
protein_605	protein_605
protein_606	protein_606
protein_607	protein_607
protein_608	protein_608
protein_610	protein_610
protein_610	protein_387
protein_610	protein_407
protein_610	protein_758
protein_611	protein_611
protein_612	protein_612
protein_613	protein_613
protein_614	protein_614
protein_615	protein_615
protein_616	protein_616
protein_617	protein_617
protein_618	protein_618
protein_619	protein_619
protein_620	protein_620
protein_621	protein_621
protein_627	protein_627
protein_644	protein_644
protein_645	protein_645
protein_646	protein_646
protein_647	protein_647
protein_648	protein_648
protein_648	protein_291
protein_648	protein_304
protein_648	protein_315
protein_648	protein_356
protein_648	protein_530
protein_648	protein_708
protein_659	protein_659
protein_659	protein_336
protein_661	protein_661
protein_661	protein_465
protein_662	protein_662
protein_663	protein_663
protein_665	protein_665
protein_665	protein_462
protein_667	protein_667
protein_668	protein_668
protein_669	protein_669
protein_670	protein_670
protein_671	protein_671
protein_676	protein_676
protein_678	protein_678
protein_691	protein_691
protein_691	protein_680
protein_691	protein_690
protein_692	protein_692
protein_695	protein_695
protein_695	protein_352
protein_696	protein_696
protein_696	protein_325
protein_696	protein_289
protein_696	protein_298
protein_696	protein_657
protein_696	protein_339
protein_696	protein_354
protein_696	protein_536
protein_697	protein_697
protein_698	protein_698
protein_699	protein_699
protein_700	protein_700
protein_701	protein_701
protein_707	protein_707
protein_711	protein_711
protein_711	protein_636
protein_714	protein_714
protein_715	protein_715
protein_716	protein_716
protein_717	protein_717
protein_718	protein_718
protein_719	protein_719
protein_720	protein_720
protein_720	protein_360
protein_720	protein_295
protein_720	protein_340
protein_720	protein_652
protein_720	protein_694
protein_721	protein_721
protein_722	protein_722
protein_723	protein_723
protein_724	protein_724
protein_725	protein_725
protein_726	protein_726
protein_727	protein_727
protein_731	protein_731
protein_732	protein_732
protein_734	protein_734
protein_736	protein_736
protein_737	protein_737
protein_738	protein_738
protein_739	protein_739
protein_740	protein_740
protein_741	protein_741
protein_742	protein_742
protein_743	protein_743
protein_745	protein_745
protein_746	protein_746
protein_747	protein_747
protein_748	protein_748
protein_749	protein_749
protein_750	protein_750
protein_750	protein_516
protein_751	protein_751
protein_751	protein_518
protein_752	protein_752
protein_753	protein_753
protein_754	protein_754
protein_756	protein_756
protein_757	protein_757
protein_760	protein_760
protein_762	protein_762
protein_764	protein_764
protein_772	protein_772
protein_772	protein_958
protein_773	protein_773
protein_773	protein_64
protein_775	protein_775
protein_775	protein_10
protein_776	protein_776
protein_776	protein_7
protein_778	protein_778
protein_778	protein_9
protein_779	protein_779
protein_779	protein_63
protein_780	protein_780
protein_783	protein_783
protein_783	protein_23
protein_785	protein_785
protein_785	protein_22
protein_786	protein_786
protein_786	protein_21
protein_789	protein_789
protein_789	protein_25
protein_790	protein_790
protein_790	protein_62
protein_790	protein_436
protein_793	protein_793
protein_794	protein_794
protein_795	protein_795
protein_796	protein_796
protein_797	protein_797
protein_798	protein_798
protein_799	protein_799
protein_900	protein_900
protein_901	protein_901
protein_902	protein_902
protein_903	protein_903
protein_904	protein_904
protein_905	protein_905
protein_906	protein_906
protein_907	protein_907
protein_908	protein_908
protein_909	protein_909
protein_910	protein_910
protein_911	protein_911
protein_912	protein_912
protein_913	protein_913
protein_914	protein_914
protein_915	protein_915
protein_917	protein_917
protein_918	protein_918
protein_919	protein_919
protein_920	protein_920
protein_921	protein_921
protein_922	protein_922
protein_923	protein_923
protein_924	protein_924
protein_925	protein_925
protein_926	protein_926
protein_927	protein_927
protein_928	protein_928
protein_929	protein_929
protein_930	protein_930
protein_931	protein_931
protein_932	protein_932
protein_933	protein_933
protein_934	protein_934
protein_935	protein_935
protein_936	protein_936
protein_937	protein_937
protein_938	protein_938
protein_939	protein_939
protein_940	protein_940
protein_941	protein_941
protein_942	protein_942
protein_943	protein_943
protein_944	protein_944
protein_945	protein_945
protein_946	protein_946
protein_947	protein_947
protein_948	protein_948
protein_949	protein_949
protein_950	protein_950
protein_951	protein_951
protein_952	protein_952
protein_953	protein_953
protein_954	protein_954
protein_955	protein_955
protein_956	protein_956
protein_957	protein_957
protein_957	protein_781
protein_959	protein_959
protein_960	protein_960
protein_961	protein_961
protein_962	protein_962
protein_963	protein_963
protein_964	protein_964
protein_965	protein_965
protein_966	protein_966
protein_968	protein_968
protein_969	protein_969
protein_970	protein_970
protein_971	protein_971
protein_971	protein_1
protein_972	protein_972
protein_973	protein_973
protein_974	protein_974
protein_975	protein_975
protein_975	protein_967
protein_976	protein_976
protein_977	protein_977
protein_978	protein_978
protein_979	protein_979
protein_980	protein_980
protein_981	protein_981
protein_982	protein_982
protein_983	protein_983
protein_984	protein_984
protein_985	protein_985
protein_986	protein_986
protein_987	protein_987
protein_988	protein_988
protein_989	protein_989
protein_990	protein_990
protein_991	protein_991
protein_992	protein_992
protein_993	protein_993
protein_994	protein_994
protein_995	protein_995
protein_996	protein_996
protein_997	protein_997
protein_998	protein_998
protein_999	protein_999
protein_1200	protein_1200
protein_1201	protein_1201
protein_1202	protein_1202
protein_1203	protein_1203
protein_1204	protein_1204
protein_1205	protein_1205
protein_1206	protein_1206
protein_1207	protein_1207
protein_1208	protein_1208
protein_1209	protein_1209
protein_1210	protein_1210
protein_1211	protein_1211
protein_1212	protein_1212
protein_1213	protein_1213
protein_1214	protein_1214
protein_1215	protein_1215
protein_1216	protein_1216
protein_1217	protein_1217
protein_1218	protein_1218
protein_1219	protein_1219
protein_1220	protein_1220
protein_1221	protein_1221
protein_1222	protein_1222
protein_1223	protein_1223
protein_1224	protein_1224
protein_1225	protein_1225
protein_1226	protein_1226
protein_1227	protein_1227
protein_1228	protein_1228
protein_1229	protein_1229
protein_1230	protein_1230
protein_1231	protein_1231
protein_1232	protein_1232
protein_1233	protein_1233
protein_1234	protein_1234
protein_1235	protein_1235
protein_1236	protein_1236
protein_1238	protein_1238
protein_1239	protein_1239
protein_1240	protein_1240
protein_1241	protein_1241
protein_1242	protein_1242
protein_1243	protein_1243
protein_1244	protein_1244
protein_1245	protein_1245
protein_1246	protein_1246
protein_1247	protein_1247
protein_1248	protein_1248
protein_1249	protein_1249
protein_1251	protein_1251
protein_1252	protein_1252
protein_1253	protein_1253
protein_1254	protein_1254
protein_1255	protein_1255
protein_1256	protein_1256
protein_1257	protein_1257
protein_1258	protein_1258
protein_1259	protein_1259
protein_1260	protein_1260
protein_1261	protein_1261
protein_1262	protein_1262
protein_1263	protein_1263
protein_1264	protein_1264
protein_1265	protein_1265
protein_1266	protein_1266
protein_1267	protein_1267
protein_1268	protein_1268
protein_1269	protein_1269
protein_1270	protein_1270
protein_1271	protein_1271
protein_1273	protein_1273
protein_1274	protein_1274
protein_1275	protein_1275
protein_1276	protein_1276
protein_1277	protein_1277
protein_1278	protein_1278
protein_1279	protein_1279
protein_1280	protein_1280
protein_1281	protein_1281
protein_1282	protein_1282
protein_1283	protein_1283
protein_1284	protein_1284
protein_1285	protein_1285
protein_1286	protein_1286
protein_1287	protein_1287
protein_1288	protein_1288
protein_1289	protein_1289
protein_1290	protein_1290
protein_1291	protein_1291
protein_1292	protein_1292
protein_1292	protein_1095
protein_1293	protein_1293
protein_1294	protein_1294
protein_1295	protein_1295
protein_1296	protein_1296
protein_1297	protein_1297
protein_1298	protein_1298
protein_1299	protein_1299
protein_1402	protein_1402
protein_1402	protein_1390
protein_1402	protein_1401
protein_1403	protein_1403
protein_1404	protein_1404
protein_1406	protein_1406
protein_1407	protein_1407
protein_1408	protein_1408
protein_1409	protein_1409
protein_1410	protein_1410
protein_1411	protein_1411
protein_1412	protein_1412
protein_1413	protein_1413
protein_1414	protein_1414
protein_1415	protein_1415
protein_1416	protein_1416
protein_1417	protein_1417
protein_1418	protein_1418
protein_1419	protein_1419
protein_1421	protein_1421
protein_1422	protein_1422
protein_1423	protein_1423
protein_1424	protein_1424
protein_1425	protein_1425
protein_1426	protein_1426
protein_1427	protein_1427
protein_1428	protein_1428
protein_1429	protein_1429
protein_1430	protein_1430
protein_1431	protein_1431
protein_1431	protein_1444
protein_1432	protein_1432
protein_1433	protein_1433
protein_1434	protein_1434
protein_1435	protein_1435
protein_1436	protein_1436
protein_1437	protein_1437
protein_1438	protein_1438
protein_1439	protein_1439
protein_1440	protein_1440
protein_1441	protein_1441
protein_1442	protein_1442
protein_1443	protein_1443
protein_1445	protein_1445
protein_1446	protein_1446
protein_1447	protein_1447
protein_1448	protein_1448
protein_1449	protein_1449
protein_1450	protein_1450
protein_1451	protein_1451
protein_1452	protein_1452
protein_1453	protein_1453
protein_1454	protein_1454
protein_1455	protein_1455
protein_1456	protein_1456
protein_1457	protein_1457
protein_1458	protein_1458
protein_1459	protein_1459
protein_1460	protein_1460
protein_1461	protein_1461
protein_1462	protein_1462
protein_1463	protein_1463
protein_1464	protein_1464
protein_1465	protein_1465
protein_1466	protein_1466
protein_1467	protein_1467
protein_1468	protein_1468
protein_1469	protein_1469
protein_1470	protein_1470
protein_1471	protein_1471
protein_1472	protein_1472
protein_1473	protein_1473
protein_1474	protein_1474
protein_1475	protein_1475
protein_1476	protein_1476
protein_1477	protein_1477
protein_1478	protein_1478
protein_1479	protein_1479
protein_1480	protein_1480
protein_1481	protein_1481
protein_1482	protein_1482
protein_1483	protein_1483
protein_1484	protein_1484
protein_1485	protein_1485
protein_1486	protein_1486
protein_1487	protein_1487
protein_1488	protein_1488
protein_1489	protein_1489
protein_1490	protein_1490
protein_1491	protein_1491
protein_1492	protein_1492
protein_1493	protein_1493
protein_1494	protein_1494
protein_1495	protein_1495
protein_1496	protein_1496
protein_1497	protein_1497
protein_1498	protein_1498
protein_1499	protein_1499
protein_1500	protein_1500
protein_1501	protein_1501
protein_1502	protein_1502
protein_1503	protein_1503
protein_1504	protein_1504
protein_1505	protein_1505
protein_1506	protein_1506
protein_1507	protein_1507
protein_1508	protein_1508
protein_1509	protein_1509
protein_1510	protein_1510
protein_1511	protein_1511
protein_1512	protein_1512
protein_1513	protein_1513
protein_1514	protein_1514
protein_1515	protein_1515
protein_1516	protein_1516
protein_1517	protein_1517
protein_1518	protein_1518
protein_1519	protein_1519
protein_1520	protein_1520
protein_1521	protein_1521
protein_1522	protein_1522
protein_1523	protein_1523
protein_1524	protein_1524
protein_1525	protein_1525
protein_1526	protein_1526
protein_1527	protein_1527
protein_1528	protein_1528
protein_1529	protein_1529
protein_1530	protein_1530
protein_1531	protein_1531
protein_1532	protein_1532
protein_1533	protein_1533
protein_1534	protein_1534
protein_1535	protein_1535
protein_1537	protein_1537
protein_1538	protein_1538
protein_1539	protein_1539
protein_1540	protein_1540
protein_1541	protein_1541
protein_1542	protein_1542
protein_1543	protein_1543
protein_1544	protein_1544
protein_1545	protein_1545
protein_1546	protein_1546
protein_1547	protein_1547
protein_1548	protein_1548
protein_1549	protein_1549
protein_1550	protein_1550
protein_1551	protein_1551
protein_1552	protein_1552
protein_1554	protein_1554
protein_1555	protein_1555
protein_1556	protein_1556
protein_1557	protein_1557
protein_1558	protein_1558
protein_1559	protein_1559
protein_1560	protein_1560
protein_1561	protein_1561
protein_1562	protein_1562
protein_1563	protein_1563
protein_1564	protein_1564
protein_1565	protein_1565
protein_1566	protein_1566
protein_1567	protein_1567
protein_1568	protein_1568
protein_1569	protein_1569
protein_1570	protein_1570
protein_1571	protein_1571
protein_1572	protein_1572
protein_1574	protein_1574
protein_1575	protein_1575
protein_1576	protein_1576
protein_1577	protein_1577
protein_1578	protein_1578
protein_1578	protein_787
protein_1579	protein_1579
protein_1580	protein_1580
protein_1581	protein_1581
protein_1581	protein_1603
protein_1582	protein_1582
protein_1583	protein_1583
protein_1583	protein_1586
protein_1583	protein_1589
protein_1583	protein_1592
protein_1583	protein_1596
protein_1583	protein_1597
protein_1583	protein_1600
protein_1584	protein_1584
protein_1585	protein_1585
protein_1587	protein_1587
protein_1590	protein_1590
protein_1591	protein_1591
protein_1594	protein_1594
protein_1700	protein_1700
protein_1700	protein_2618
protein_1700	protein_2617
protein_1701	protein_1701
protein_1702	protein_1702
protein_1703	protein_1703
protein_1705	protein_1705
protein_1708	protein_1708
protein_1709	protein_1709
protein_1710	protein_1710
protein_1710	protein_1706
protein_1710	protein_1707
protein_1711	protein_1711
protein_1712	protein_1712
protein_1713	protein_1713
protein_1714	protein_1714
protein_1716	protein_1716
protein_1717	protein_1717
protein_1718	protein_1718
protein_1719	protein_1719
protein_1720	protein_1720
protein_1721	protein_1721
protein_1722	protein_1722
protein_1723	protein_1723
protein_1724	protein_1724
protein_1726	protein_1726
protein_1727	protein_1727
protein_1727	protein_1729
protein_1728	protein_1728
protein_1728	protein_1725
protein_1730	protein_1730
protein_1731	protein_1731
protein_1732	protein_1732
protein_1734	protein_1734
protein_1734	protein_1733
protein_1735	protein_1735
protein_1736	protein_1736
protein_1737	protein_1737
protein_1738	protein_1738
protein_1739	protein_1739
protein_1740	protein_1740
protein_1741	protein_1741
protein_1742	protein_1742
protein_1743	protein_1743
protein_1744	protein_1744
protein_1745	protein_1745
protein_1746	protein_1746
protein_1747	protein_1747
protein_1748	protein_1748
protein_1750	protein_1750
protein_1751	protein_1751
protein_1752	protein_1752
protein_1752	protein_1749
protein_1753	protein_1753
protein_1754	protein_1754
protein_1755	protein_1755
protein_1757	protein_1757
protein_1758	protein_1758
protein_1759	protein_1759
protein_1761	protein_1761
protein_1761	protein_1760
protein_1762	protein_1762
protein_1763	protein_1763
protein_1764	protein_1764
protein_1765	protein_1765
protein_1766	protein_1766
protein_1767	protein_1767
protein_1768	protein_1768
protein_1769	protein_1769
protein_1770	protein_1770
protein_1770	protein_640
protein_1770	protein_1831
protein_1770	protein_1833
protein_1770	protein_1834
protein_1770	protein_1917
protein_1770	protein_2112
protein_1771	protein_1771
protein_1772	protein_1772
protein_1773	protein_1773
protein_1775	protein_1775
protein_1775	protein_1774
protein_1776	protein_1776
protein_1776	protein_1651
protein_1777	protein_1777
protein_1778	protein_1778
protein_1779	protein_1779
protein_1780	protein_1780
protein_1781	protein_1781
protein_1781	protein_1783
protein_1782	protein_1782
protein_1785	protein_1785
protein_1785	protein_1784
protein_1786	protein_1786
protein_1787	protein_1787
protein_1788	protein_1788
protein_1789	protein_1789
protein_1790	protein_1790
protein_1791	protein_1791
protein_1791	protein_84
protein_1792	protein_1792
protein_1793	protein_1793
protein_1794	protein_1794
protein_1795	protein_1795
protein_1796	protein_1796
protein_1797	protein_1797
protein_1798	protein_1798
protein_1799	protein_1799
protein_1900	protein_1900
protein_1901	protein_1901
protein_1903	protein_1903
protein_1903	protein_1902
protein_1904	protein_1904
protein_1905	protein_1905
protein_1906	protein_1906
protein_1907	protein_1907
protein_1910	protein_1910
protein_1912	protein_1912
protein_1914	protein_1914
protein_1914	protein_1913
protein_1915	protein_1915
protein_1916	protein_1916
protein_1918	protein_1918
protein_1919	protein_1919
protein_1920	protein_1920
protein_1921	protein_1921
protein_1922	protein_1922
protein_1924	protein_1924
protein_1925	protein_1925
protein_1926	protein_1926
protein_1927	protein_1927
protein_1928	protein_1928
protein_1928	protein_1800
protein_1929	protein_1929
protein_1930	protein_1930
protein_1931	protein_1931
protein_1932	protein_1932
protein_1933	protein_1933
protein_1934	protein_1934
protein_1935	protein_1935
protein_1936	protein_1936
protein_1937	protein_1937
protein_1938	protein_1938
protein_1939	protein_1939
protein_1940	protein_1940
protein_1941	protein_1941
protein_1942	protein_1942
protein_1943	protein_1943
protein_1944	protein_1944
protein_1945	protein_1945
protein_1946	protein_1946
protein_1947	protein_1947
protein_1948	protein_1948
protein_1949	protein_1949
protein_1950	protein_1950
protein_1951	protein_1951
protein_1952	protein_1952
protein_1953	protein_1953
protein_1954	protein_1954
protein_1955	protein_1955
protein_1956	protein_1956
protein_1957	protein_1957
protein_1958	protein_1958
protein_1959	protein_1959
protein_1960	protein_1960
protein_1961	protein_1961
protein_1962	protein_1962
protein_1963	protein_1963
protein_1964	protein_1964
protein_1965	protein_1965
protein_1966	protein_1966
protein_1967	protein_1967
protein_1968	protein_1968
protein_1969	protein_1969
protein_1970	protein_1970
protein_1971	protein_1971
protein_1973	protein_1973
protein_1974	protein_1974
protein_1974	protein_1972
protein_1975	protein_1975
protein_1976	protein_1976
protein_1977	protein_1977
protein_1978	protein_1978
protein_1980	protein_1980
protein_1980	protein_1979
protein_1982	protein_1982
protein_1983	protein_1983
protein_1984	protein_1984
protein_1985	protein_1985
protein_1987	protein_1987
protein_1987	protein_1986
protein_1988	protein_1988
protein_1989	protein_1989
protein_1990	protein_1990
protein_1991	protein_1991
protein_1992	protein_1992
protein_1993	protein_1993
protein_1994	protein_1994
protein_1995	protein_1995
protein_1996	protein_1996
protein_1997	protein_1997
protein_1998	protein_1998
protein_2000	protein_2000
protein_2000	protein_1981
protein_2000	protein_1999
protein_2000	protein_2002
protein_2001	protein_2001
protein_2003	protein_2003
protein_2004	protein_2004
protein_2005	protein_2005
protein_2006	protein_2006
protein_2007	protein_2007
protein_2008	protein_2008
protein_2009	protein_2009
protein_2010	protein_2010
protein_2011	protein_2011
protein_2012	protein_2012
protein_2013	protein_2013
protein_2014	protein_2014
protein_2014	protein_1173
protein_2015	protein_2015
protein_2016	protein_2016
protein_2017	protein_2017
protein_2018	protein_2018
protein_2019	protein_2019
protein_2019	protein_2020
protein_2019	protein_2021
protein_2019	protein_2023
protein_2019	protein_3305
protein_2019	protein_3306
protein_2019	protein_3307
protein_2022	protein_2022
protein_2024	protein_2024
protein_2025	protein_2025
protein_2026	protein_2026
protein_2027	protein_2027
protein_2029	protein_2029
protein_2030	protein_2030
protein_2031	protein_2031
protein_2031	protein_2028
protein_2032	protein_2032
protein_2033	protein_2033
protein_2034	protein_2034
protein_2035	protein_2035
protein_2036	protein_2036
protein_2038	protein_2038
protein_2039	protein_2039
protein_2040	protein_2040
protein_2041	protein_2041
protein_2042	protein_2042
